Username,Name en_NZ,Name zh,Name ja,Description en_NZ,Description zh,Description  ja,Menu item page URL,imageUrl,Tags,Linked Printers
takumi@fingermenu.co.nz,Chicken Tempura,日式炸鸡排,鶏の天ぷら,Chicken Tempura,日式炸鸡排,鶏の天ぷら,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/63bf473828dce28fc66e575db3e69fbd_Chicken-tempura.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Entrée-Vegetable Tempura,素食天妇罗,野菜天ぷら,Entrée-Vegetable Tempura,素食天妇罗,野菜天ぷら,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/18cd68e4bd5460bd0f486ff55681928a_Entree-Vegetable-tempura-.jpg.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Main-Vegetable Tempura,素食天妇罗,野菜天ぷら,Main-Vegetable Tempura,素食天妇罗,野菜天ぷら,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/18cd68e4bd5460bd0f486ff55681928a_Entree-Vegetable-tempura-.jpg.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Sushi Sashimi Combo,寿司刺身拼盘,寿司と刺身の盛り合わせ,Sushi Sashimi Combo,寿司刺身拼盘,寿司と刺身の盛り合わせ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/20f8728d1bbfe3da1287006d2865336b_Sushi-sashimi-combo.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Salmon Roll,三文鱼寿司卷,サーモンロール,Salmon Roll,三文鱼寿司卷,サーモンロール,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/a3a16833ec454b3434f6dac79c24844d_Salmon-roll.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,California Roll,加州寿司卷,カリフォルニア巻き,California Roll,加州寿司卷,カリフォルニア巻き,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/fc0771c3c5c9190ad84b67e47725e2a8_California-roll.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Teriyaki Chicken Roll,照烧鸡肉寿司卷,テリヤキチキンロール,Teriyaki Chicken Roll,照烧鸡肉寿司卷,テリヤキチキンロール,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/3fd82e76f0b0ffd356fa4d7bff983fb4_Teriyaki-chicken-roll.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Salmon & Prawn Tempura Roll,炸虾炸三文鱼寿司卷,サーモンとエビの天婦羅ロール,Salmon & Prawn Tempura Roll,炸虾炸三文鱼寿司卷,サーモンとエビの天婦羅ロール,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/cf5842091fc7961e4e888fcb0cec754a_Salmon-prawn-tempura-roll.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Salmon Nigiri Lover,三文鱼手握寿司拼盘,サーモンニギリ盛り合わせ,Salmon Nigiri Lover,三文鱼手握寿司拼盘,サーモンニギリ盛り合わせ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/bdd02ba8d87233ad5e667d1d3cc450f5_Salmon%20Nigiri%20Lober.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Seafood Nigiri Combo	,海鲜手握寿司拼盘,シーフードニギリコンボ,Seafood Nigiri Combo	,海鲜手握寿司拼盘,シーフードニギリコンボ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/232d93a9739354f5e8d3ecb72f96f2d9_Seafood%20Nigiri%20Combo.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Salmon Nigiri ,三文鱼手握寿司,サーモンニギリ,Salmon Nigiri ,三文鱼手握寿司,サーモンニギリ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/b5fc442e6c3700ac6f3ff7fa10a91ac3_Salmon%20Nigiri.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Broiled Salmon Nigiri,喷烤三文鱼手握寿司,炙りサーモンニギリ,Broiled Salmon Nigiri,喷烤三文鱼手握寿司,炙りサーモンニギリ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/99e0cd53923770f28f513f75e51d0a0d_Broiled%20Salmon%20Nigiri.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Egg Nigiri ,蛋卷手握寿司,タマゴニギリ,Egg Nigiri ,蛋卷手握寿司,タマゴニギリ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/343b27a7c3268fe7d80ba0d026cb47c0_Egg%20Nigiri.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,White Fish Nigiri,白鱼手握寿司,白身魚ニギリ,White Fish Nigiri,白鱼手握寿司,白身魚ニギリ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/5db7cce11e0ad32bcee9ef1123c53689_White%20Fish%20Nigiri.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Prawn Nigiri,手握虾寿司,エビニギリ,Prawn Nigiri,手握虾寿司,エビニギリ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/ee3f155e6d553bff34ef4172fb574784_Prawn%20Nigiri.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Beef Tataki Nigiri,牛肉刺身手握寿司,牛タタキニギリ,Beef Tataki Nigiri,牛肉刺身手握寿司,牛タタキニギリ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/0af491ee15853d3ea22350641e914e84_Beef%20Tataki%20Nigiri.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Venison Tataki,鹿肉刺身,鹿肉タタキ,Venison Tataki,鹿肉刺身,鹿肉タタキ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/16bdb39fc02f1caac4ac74c40ede177b_Venison%20Tataki.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Tuna & Scallop Meunière,法式黄油煎金枪鱼扇贝,鮪とホタテ貝ムニエル,Tuna & Scallop Meunière,法式黄油煎金枪鱼扇贝,鮪とホタテ貝ムニエル,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/44c98685079069167f06cce1bc4ccd9f_Tuna%20Scallop%20Meuniere.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Burger Steak,汉堡牛排,バーガーステーキ,Burger Steak,汉堡牛排,バーガーステーキ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/8bce2b7f46b7bc4fe5e87040260eb911_Burger%20Steak.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,5 Spice Prawn,天然五香虾,スパイシーなエビ,5 Spice Prawn,天然五香虾,スパイシーなエビ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/c9cd015e1fff086406701ab487c563ab_5%20Spice%20Prawn.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Soft Shell Crab [4pcs],酥炸软壳蟹,ソフトシェルカニ,Soft Shell Crab [4pcs],酥炸软壳蟹,ソフトシェルカニ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/6c59c703c6fb94e44abda85ca768a461_Soft%20shell%20crab.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Soft Shell Crab [6pcs],酥炸软壳蟹,ソフトシェルカニ,Soft Shell Crab [6pcs],酥炸软壳蟹,ソフトシェルカニ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/6c59c703c6fb94e44abda85ca768a461_Soft%20shell%20crab.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Pan Fried Salmon,香煎三文鱼,パン揚げサーモン,PAN FRIED/GRILLED-Pan Fried Salmon,香煎三文鱼,パン揚げサーモン,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/b1a1f449bf10e2195a74adab4115920a_Pan-fried-salmon.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Beef Cano,牛肉火山,ローストビーフ丼,Beef Cano,牛肉火山,ローストビーフ丼,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/e857232e8edac3d95d21a497a6d5a046_Beef-cano.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Entrée-Prawn Tempura [3pcs],虾天妇罗,エビ天ぷら,Entrée-Prawn Tempura [3pcs],虾天妇罗,エビ天ぷら,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/a198a8c09b633175a4471a696c1483c6_Entree-Prawn-tempura.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Entrée-Prawn Tempura [5pcs],虾天妇罗,エビ天ぷら,Entrée-Prawn Tempura [5pcs],虾天妇罗,エビ天ぷら,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/dcf0182f9499b56b70c719cdf3a64166_Entree-Prawn%20tempura.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Pork Spare Rib,日式照烧猪排骨,スペアーリブ,PAN FRIED/GRILLED-Pork spare rib,日式照烧猪排骨,スペアーリブ,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/0db0e041409f88830de17aae50b5fbe1_Pork-spare-rib.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Teriyaki Chicken (pan grilled),日式照烧鸡排,テリヤキチキン,PAN FRIED/GRILLED-Teriyaki Chicken,日式照烧鸡排,テリヤキチキン,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/d67474f3948d3d699979dba2ec380011_Teriyaki-Chicken.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Slow Cooked Pork Belly,,角煮,PAN FRIED/GRILLED-Slow Cooked Pork Belly,,角煮,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/f65ef5dfd1753092e7776bb622bab489_Slow-cooked-pork-belly.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Yakitori Assortment,日式烤串拼盘,焼鳥混合,"PAN FRIED/GRILLED-Yakitori Assortment [Chicken,Salmon,Beef,Eggplant & Vege]",日式烤串拼盘,焼鳥混合,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/7430151d7816463ec5ce6c8229fd4f60_Yakitori%20Assortment.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Teriyaki Beef,照烧牛肉饭,照り焼き牛丼,RICE DISHES-Teriyaki Beef,照烧牛肉饭,照り焼き牛丼,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Japanese Style Grilled Yuzu Chicken,日式烤鸡肉饭,ゆずチキン丼,RICE DISHES-Japanese Style Grilled Yuzu Chicken,日式烤鸡肉饭,ゆずチキン丼,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/2866dfaa35516e5888121e1332d91a89_Japanese-Yuzu-Grilled-Chicken.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Teriyaki Chicken,照烧鸡肉饭,照り焼き鶏丼,RICE DISHES-Teriyaki Chicken,照烧鸡肉饭,照り焼き鶏丼,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/fbb39204d38cb1ea0aa23c00c348e4b4_RICE%20DISHES%20Teriyaki%20Chicken.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Tempura Chicken,炸鸡排饭,天ぷら鶏丼,RICE DISHES-Tempura Chicken,炸鸡排饭,天ぷら鶏丼,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/6d0af37408847e4d799f6a5a33ca2d20_RICE%20DISHES%20Tempura%20Chicken.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Salmon Sashimi,生三文鱼片饭,サーモン刺し身丼,RICE DISHES-Salmon Sashimi,生三文鱼片饭,サーモン刺し身丼,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/e708cf63d7d2d4ab6ec3c8cd406e9e49_RICE%20DISHES-Salmon%20Sashimi.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Japanese Grilled Eel,日式烤鳗鱼饭,ウナギ丼,RICE DISHES-Japanese Grilled Eel,日式烤鳗鱼饭,ウナギ丼,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,JAPANESE CURRY WITH RICE-Beef Curry,牛肉咖喱饭,牛カレー丼,JAPANESE CURRY WITH RICE-Beef Curry,牛肉咖喱饭,牛カレー丼,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/a1c58edb74736fc4bc868b5ede616624_JAPANESE%20CURRY%20WITH%20RICE%20Beef%20Curry.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,JAPANESE CURRY WITH RICE-Chicken Curry,炸鸡排咖喱饭,鶏カレー丼,JAPANESE CURRY WITH RICE-Chicken Curry,炸鸡排咖喱饭,鶏カレー丼,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/58e13f8befece643bef94b3c9d54e899_JAPANESE%20CURRY%20WITH%20RICE%20Chicken%20Curry.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,JAPANESE CURRY WITH RICE-Seafood Curry,海鲜咖喱饭,シーフードカレー丼,JAPANESE CURRY WITH RICE-Seafood Curry,海鲜咖喱饭,シーフードカレー丼,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/2e460b23c400dd7e7e01e832e3e630e6_JAPANESE%20CURRY%20WITH%20RICE%20Seafood%20Curry.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Japanese Style TAKANA Fried Rice,日式炒饭,タカナチャーハン,Japanese Style TAKANA Fried Rice,日式炒饭,タカナチャーハン,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Japanese Style Omelette Rice with Tomato Sauce,日式蛋包饭,オムレツ丼,Japanese Style Omelette Rice with Tomato Sauce,日式蛋包饭,オムレツ丼,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/51cde4ed27aae1df6e8917f899383e37_Janpanese%20Style%20Omelette%20Rice%20with%20Tomato%20Sauce.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Deluxe Bento Box,豪华便当,デラックス弁当,"Deluxe Bento Box, comes with Miso Soup",豪华便当,デラックス弁当,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/5581d454b3102c3b2a8ac8414e249020_Delux-Bento-Box.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Yuzu Grilled Chicken Box,日式烤鸡便当,ゆずチキン弁当,"Yuzu Grilled Chicken Box, comes with Miso Soup",日式烤鸡便当,ゆずチキン弁当,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/7a1d9b2d5089298488667a04e621453c_Japanese-Yuzu-Grilled-Chicken1.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Vegetarian Box,素食便当,ベジタリアン弁当,"Vegetarian Box, comes with Miso Soup",素食便当,ベジタリアン弁当,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/aa3db839b247af2c8a6a27bd642a9a99_Vegetarian-box.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Edamame Beans,毛豆,枝豆,Edamame Beans,毛豆,枝豆,,https://api.parse.buddy.com/files/38066dde-ac12-4e7d-ac2b-ab03f3b6e56d/8984813b62843c1ead949bae44bd5832_Edamame-beans.jpg,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Asahi,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Sapporo,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Kubota Senjyu - Cold,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Karatamba - Cold,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Ozeki - Hot,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Stoke Pilsner,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Stoke Dark Ale,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Corona,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Heineken,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Speight's,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Magners Traditional Apple Cider,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Magners Berry Cider,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Sake Tasting Set (3 Kind),,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Sake Sparkling Jelly (Peach),,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Straight/Rock,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,With Soda Water,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,With Sapporo Beer,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Chu-hi (Grape/Lychee/Peach),,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Lychee / Lemonade,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Suntory Whiskey (single) - on rocks,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Suntory Whiskey (single) - with Coke,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Asahi Zero,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Soda Water,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Sparkling Water,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Calpis Soda,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Coke,,,,,,,,,"[""Receipt Printer""]"
takumi@fingermenu.co.nz,Coke Zero,,,,,,,,,"[""Receipt Printer""]"
