Username,Menu Item Name,Choice Item Descriptions,Current Price,Tags,Default Choice Item Descriptions,Must Choose Size,Must Choose Dietary Option,Min Number of Side Dishes,Max Number of Side Dishes
takumi@fingermenu.co.nz,Main Sashimi [24pcs],Rice|Miso|Rice & Miso,31.00,,,F,F,0,0
takumi@fingermenu.co.nz,Entrée Sashimi [12pcs],Rice|Miso|Rice & Miso,17.00,,,F,F,0,0
takumi@fingermenu.co.nz,White Fish Assortment,Rice|Miso|Rice & Miso,16.00,,,F,F,0,0
takumi@fingermenu.co.nz,Salmon Sashimi [10pcs],Rice|Miso|Rice & Miso,20.00,,,F,F,0,0
takumi@fingermenu.co.nz,Beef Tataki,Rice|Miso|Rice & Miso,19.00,,,F,F,0,0
takumi@fingermenu.co.nz,Yuzu Chicken ,Rice|Miso|Rice & Miso,20.00,,,F,F,0,0
takumi@fingermenu.co.nz,Chicken Tempura,Rice|Miso|Rice & Miso,23.00,,,F,F,0,0
takumi@fingermenu.co.nz,Entrée-Vegetable Tempura,Rice|Miso|Rice & Miso,11.00,,,F,F,0,0
takumi@fingermenu.co.nz,Main-Vegetable Tempura,Rice|Miso|Rice & Miso,20.00,,,F,F,0,0
takumi@fingermenu.co.nz,Sushi Sashimi Combo,Rice|Miso|Rice & Miso,34.00,,,F,F,0,0
takumi@fingermenu.co.nz,Salmon Roll,Rice|Miso|Rice & Miso,16.00,,,F,F,0,0
takumi@fingermenu.co.nz,California Roll,Rice|Miso|Rice & Miso,14.00,,,F,F,0,0
takumi@fingermenu.co.nz,Teriyaki Chicken Roll,Rice|Miso|Rice & Miso,15.00,,,F,F,0,0
takumi@fingermenu.co.nz,Salmon & Prawn Tempura Roll,Rice|Miso|Rice & Miso,17.00,,,F,F,0,0
takumi@fingermenu.co.nz,Salmon Nigiri Lover,Rice|Miso|Rice & Miso,18.50,,,F,F,0,0
takumi@fingermenu.co.nz,Seafood Nigiri Combo	,Rice|Miso|Rice & Miso,10.50,,,F,F,0,0
takumi@fingermenu.co.nz,Salmon Nigiri ,Rice|Miso|Rice & Miso,6.00,,,F,F,0,0
takumi@fingermenu.co.nz,Broiled Salmon Nigiri,Rice|Miso|Rice & Miso,7.00,,,F,F,0,0
takumi@fingermenu.co.nz,Egg Nigiri ,Rice|Miso|Rice & Miso,5.00,,,F,F,0,0
takumi@fingermenu.co.nz,White Fish Nigiri,Rice|Miso|Rice & Miso,6.00,,,F,F,0,0
takumi@fingermenu.co.nz,Prawn Nigiri,Rice|Miso|Rice & Miso,5.00,,,F,F,0,0
takumi@fingermenu.co.nz,Beef Tataki Nigiri,Rice|Miso|Rice & Miso,8.00,,,F,F,0,0
takumi@fingermenu.co.nz,Venison Tataki,Rice|Miso|Rice & Miso,28.00,,,F,F,0,0
takumi@fingermenu.co.nz,Tuna & Scallop Meunière,Rice|Miso|Rice & Miso,28.00,,,F,F,0,0
takumi@fingermenu.co.nz,Burger Steak,Rice|Miso|Rice & Miso,20.00,,,F,F,0,0
takumi@fingermenu.co.nz,5 Spice Prawn,Rice|Miso|Rice & Miso,25.00,,,F,F,0,0
takumi@fingermenu.co.nz,Soft Shell Crab [4pcs],Rice|Miso|Rice & Miso,16.00,,,F,F,0,0
takumi@fingermenu.co.nz,Soft Shell Crab [6pcs],Rice|Miso|Rice & Miso,22.00,,,F,F,0,0
takumi@fingermenu.co.nz,Pan Fried Salmon,Rice|Miso|Rice & Miso,25.00,,,F,F,0,0
takumi@fingermenu.co.nz,Beef Cano,Rice|Miso|Rice & Miso,20.00,,,F,F,0,0
takumi@fingermenu.co.nz,Entrée-Prawn Tempura [3pcs],Rice|Miso|Rice & Miso,16.00,,,F,F,0,0
takumi@fingermenu.co.nz,Entrée-Prawn Tempura [5pcs],Rice|Miso|Rice & Miso,25.00,,,F,F,0,0
takumi@fingermenu.co.nz,Pork Spare Rib,Rice|Miso|Rice & Miso,22.00,,,F,F,0,0
takumi@fingermenu.co.nz,Teriyaki Chicken (pan grilled),Rice|Miso|Rice & Miso,22.00,,,F,F,0,0
takumi@fingermenu.co.nz,Slow Cooked Pork Belly,Rice|Miso|Rice & Miso,21.00,,,F,F,0,0
takumi@fingermenu.co.nz,Yakitori Assortment,Rice|Miso|Rice & Miso,21.00,,,F,F,0,0
takumi@fingermenu.co.nz,Teriyaki Beef,Rice|Miso|Rice & Miso,13.00,,,F,F,0,0
takumi@fingermenu.co.nz,Japanese Style Grilled Yuzu Chicken,Rice|Miso|Rice & Miso,15.00,,,F,F,0,0
takumi@fingermenu.co.nz,Teriyaki Chicken,Rice|Miso|Rice & Miso,12.00,,,F,F,0,0
takumi@fingermenu.co.nz,Tempura Chicken,Rice|Miso|Rice & Miso,15.00,,,F,F,0,0
takumi@fingermenu.co.nz,Salmon Sashimi,Rice|Miso|Rice & Miso,17.00,,,F,F,0,0
takumi@fingermenu.co.nz,Japanese Grilled Eel,Rice|Miso|Rice & Miso,19.00,,,F,F,0,0
takumi@fingermenu.co.nz,JAPANESE CURRY WITH RICE-Beef Curry,Rice|Miso|Rice & Miso,13.00,,,F,F,0,0
takumi@fingermenu.co.nz,JAPANESE CURRY WITH RICE-Chicken Curry,Rice|Miso|Rice & Miso,12.00,,,F,F,0,0
takumi@fingermenu.co.nz,JAPANESE CURRY WITH RICE-Seafood Curry,Rice|Miso|Rice & Miso,15.00,,,F,F,0,0
takumi@fingermenu.co.nz,Japanese Style TAKANA Fried Rice,Rice|Miso|Rice & Miso,11.00,,,F,F,0,0
takumi@fingermenu.co.nz,Japanese Style Omelette Rice with Tomato Sauce,Rice|Miso|Rice & Miso,15.00,,,F,F,0,0
takumi@fingermenu.co.nz,Deluxe Bento Box,Rice|Miso|Rice & Miso,25.00,,,F,F,0,0
takumi@fingermenu.co.nz,Yuzu Grilled Chicken Box,Rice|Miso|Rice & Miso,18.00,,,F,F,0,0
takumi@fingermenu.co.nz,Vegetarian Box,Rice|Miso|Rice & Miso,15.00,,,F,F,0,0
takumi@fingermenu.co.nz,Edamame Beans,Rice|Miso|Rice & Miso|Garlic|Vegan,7.00,,,F,F,0,0
takumi@fingermenu.co.nz,Asahi,Asahi (Large)|Asahi (Regular),0.00,Tap Beer,Asahi (Regular),T,F,0,0
takumi@fingermenu.co.nz,Sapporo,Sapporo (Large)|Sapporo (Regular),0.00,Tap Beer,Sapporo (Regular),T,F,0,0
takumi@fingermenu.co.nz,Kubota Senjyu - Cold,Kubota Senjyu - Cold (Large)|Kubota Senjyu - Cold (Regular),0.00,Sake,Kubota Senjyu - Cold (Regular),T,F,0,0
takumi@fingermenu.co.nz,Karatamba - Cold,Karatamba - Cold (Large)|Karatambe - Cold (Regular),0.00,Sake,Karatambe - Cold (Regular),T,F,0,0
takumi@fingermenu.co.nz,Ozeki - Hot,Ozeki - Hot (Large)|Ozeki - Hot (Regular),0.00,Sake,Ozeki - Hot (Regular),T,F,0,0
takumi@fingermenu.co.nz,Stoke Pilsner,,9.00,Bottled Beer,,F,F,0,0
takumi@fingermenu.co.nz,Stoke Dark Ale,,9.00,Bottled Beer,,F,F,0,0
takumi@fingermenu.co.nz,Corona,,8.00,Bottled Beer,,F,F,0,0
takumi@fingermenu.co.nz,Heineken,,7.00,Bottled Beer,,F,F,0,0
takumi@fingermenu.co.nz,Speight's,,6.00,Bottled Beer,,F,F,0,0
takumi@fingermenu.co.nz,Magners Traditional Apple Cider,,10.00,Bottled Cider,,F,F,0,0
takumi@fingermenu.co.nz,Magners Berry Cider,,10.00,Bottled Cider,,F,F,0,0
takumi@fingermenu.co.nz,Sake Tasting Set (3 Kind),,16.00,Sake,,F,F,0,0
takumi@fingermenu.co.nz,Sake Sparkling Jelly (Peach),,7.00,Sake,,F,F,0,0
takumi@fingermenu.co.nz,Straight/Rock,,8.00,Plum Wine,,F,F,0,0
takumi@fingermenu.co.nz,With Soda Water,,8.50,Plum Wine,,F,F,0,0
takumi@fingermenu.co.nz,With Sapporo Beer,,9.00,Plum Wine,,F,F,0,0
takumi@fingermenu.co.nz,Chu-hi (Grape/Lychee/Peach),,7.00,Japanese Fruity Beer,,F,F,0,0
takumi@fingermenu.co.nz,Lychee / Lemonade,,5.00,Ramune,,F,F,0,0
takumi@fingermenu.co.nz,Suntory Whiskey (single) - on rocks,,10.00,Japanese Whiskey (40%),,F,F,0,0
takumi@fingermenu.co.nz,Suntory Whiskey (single) - with Coke,,10.00,Japanese Whiskey (40%),,F,F,0,0
takumi@fingermenu.co.nz,Asahi Zero,,6.00,Soft Drink,,F,F,0,0
takumi@fingermenu.co.nz,Soda Water,,4.50,Soft Drink,,F,F,0,0
takumi@fingermenu.co.nz,Sparkling Water,,6.00,Soft Drink,,F,F,0,0
takumi@fingermenu.co.nz,Calpis Soda,,4.00,Soft Drink,,F,F,0,0
takumi@fingermenu.co.nz,Coke,,4.50,Soft Drink,,F,F,0,0
takumi@fingermenu.co.nz,Coke Zero,,4.50,Soft Drink,,F,F,0,0
takumi@fingermenu.co.nz,Sprite,,4.50,Soft Drink,,F,F,0,0
takumi@fingermenu.co.nz,L&P,,4.50,Soft Drink,,F,F,0,0
takumi@fingermenu.co.nz,Ginger Beer,,4.50,Soft Drink,,F,F,0,0
takumi@fingermenu.co.nz,Lemon Lime & Bitter,,4.50,Soft Drink,,F,F,0,0
takumi@fingermenu.co.nz,Raspberry Coke,,5.00,Soft Drink,,F,F,0,0
takumi@fingermenu.co.nz,Raspberry Lemonade,,5.00,Soft Drink,,F,F,0,0
takumi@fingermenu.co.nz,Green Tea - pot,,4.50,Tea,,F,F,0,0
takumi@fingermenu.co.nz,Genmai Tea - pot,,4.50,Tea,,F,F,0,0
takumi@fingermenu.co.nz,Orange Juice,,4.50,Juice,,F,F,0,0
takumi@fingermenu.co.nz,Apple Juice,,4.50,Juice,,F,F,0,0
takumi@fingermenu.co.nz,Cranberry Juice,,4.50,Juice,,F,F,0,0
,,,,,,,,,
,,,,,,,,,
info@43degreescafe.co.nz,Avo-Mato. (V),,19.00,,,F,F,0,0
info@43degreescafe.co.nz,Tortilla,,19.00,,,F,F,0,0
info@43degreescafe.co.nz,Banana Split Brioche French Toast,,18.00,,,F,F,0,0
info@43degreescafe.co.nz,Potato Hash,,15.00,,,F,F,0,0
info@43degreescafe.co.nz,Potato Hash with Bacon,,19.00,,,F,F,0,0
info@43degreescafe.co.nz,Eggs Benedict - Mushroom,,17.00,,,F,F,0,0
info@43degreescafe.co.nz,Eggs Benedict - Bacon,,19.00,,,F,F,0,0
info@43degreescafe.co.nz,Eggs Benedict - Salmon,,21.00,,,F,F,0,0
info@43degreescafe.co.nz,GRANOLA - Berry Compote & Yoghurt,,10.00,,,F,F,0,0
info@43degreescafe.co.nz,GRANOLA - Seasonal Fruits,,14.00,,,F,F,0,0
info@43degreescafe.co.nz,Toasted Bagels - Cream Cheese Jam Or Pesto,,6.50,,,F,F,0,0
info@43degreescafe.co.nz,Toasted Bagels - With Bacon & Sliced Tomato,,15.00,,,F,F,0,0
info@43degreescafe.co.nz,Toasted Bagels - Salmon & Cream Cheese,,15.00,,,F,F,0,0
info@43degreescafe.co.nz,Eggs Your Way - Soft Poached,Highland Fresh Salmon|Bacon|Avocado|Halloumi|Sautéed Spinach|Chorizo|Potato Hash Brown|Mushroom|Tomato|GF & DF Bread,12.00,,,F,F,0,0
info@43degreescafe.co.nz,Eggs Your Way - Scrambled,Highland Fresh Salmon|Bacon|Avocado|Halloumi|Sautéed Spinach|Chorizo|Potato Hash Brown|Mushroom|Tomato|GF & DF Bread,12.00,,,F,F,0,0
info@43degreescafe.co.nz,Eggs Your Way - Fried,Highland Fresh Salmon|Bacon|Avocado|Halloumi|Sautéed Spinach|Chorizo|Potato Hash Brown|Mushroom|Tomato|GF & DF Bread,12.00,,,F,F,0,0
info@43degreescafe.co.nz,Hot Chips - with sea salt,,6.50,,,F,F,0,0
info@43degreescafe.co.nz,Bowl of Onion Rings,,8.00,,,F,F,0,0
info@43degreescafe.co.nz,Dumplings,,12.00,,,F,F,0,0
info@43degreescafe.co.nz,Bao,,12.00,,,F,F,0,0
info@43degreescafe.co.nz,Soup of the day,,12.00,,,F,F,0,0
info@43degreescafe.co.nz,Seafood Chowder,,17.00,,,F,F,0,0
info@43degreescafe.co.nz,BBQ Scotch Fillet On Salad,,20.00,,,F,F,0,0
info@43degreescafe.co.nz,Chicken Salad,,20.00,,,F,F,0,0
info@43degreescafe.co.nz,B.L.A.T.,,18.00,,,F,F,0,0
info@43degreescafe.co.nz,Big Beef Burger,,20.00,,,F,F,0,0
info@43degreescafe.co.nz,Chicken Burger,,20.00,,,F,F,0,0
info@43degreescafe.co.nz,Espresso - Black,,3.8,Hot Drinks,,,,,
info@43degreescafe.co.nz,Espresso - White,,4.5,Hot Drinks,,,,,
info@43degreescafe.co.nz,Espresso - Mocha,,5,Hot Drinks,,,,,
info@43degreescafe.co.nz,Filter - coffee of the month,,4,Hot Drinks,,,,,
info@43degreescafe.co.nz,NZ Hot Chocolate,,4.5,Hot Drinks,,,,,
info@43degreescafe.co.nz,Hot White Chocolate,,4.5,Hot Drinks,,,,,
info@43degreescafe.co.nz,"Deluxe Peruvian - Dark Chocolate (GF, V)",,6,Hot Drinks,,,,,
info@43degreescafe.co.nz,"Deluxe Peruvian - Spicy Chocolate (GF, V)",,6,Hot Drinks,,,,,
info@43degreescafe.co.nz,Hot Blackcurrant,,4.2,Hot Drinks,,,,,
info@43degreescafe.co.nz,Lemon Honey Ginger,,4.2,Hot Drinks,,,,,
info@43degreescafe.co.nz,Feijoa Pineapple,,4.2,Hot Drinks,,,,,
info@43degreescafe.co.nz,Tea - English Breakfast,,4.2,Hot Drinks,,,,,
info@43degreescafe.co.nz,Tea - Earl Grey,,4.2,Hot Drinks,,,,,
info@43degreescafe.co.nz,Tea - Green / Jasmine,,4.2,Hot Drinks,,,,,
info@43degreescafe.co.nz,Tea - Oolong,,4.2,Hot Drinks,,,,,
info@43degreescafe.co.nz,Tea - Peppermint (no caffeine),,4.2,Hot Drinks,,,,,
info@43degreescafe.co.nz,Tea - Camomile (no caffeine),,4.2,Hot Drinks,,,,,
info@43degreescafe.co.nz,Tea - Red Bush (no caffeine),,4.2,Hot Drinks,,,,,
info@43degreescafe.co.nz,Tea - Lemon Ginger (no caffeine),,4.2,Hot Drinks,,,,,
info@43degreescafe.co.nz,Tea - Rose buds & Honey (no caffeine),,4.2,Hot Drinks,,,,,
info@43degreescafe.co.nz,Tea - Mixed Berry (no caffeine),,4.2,Hot Drinks,,,,,
info@43degreescafe.co.nz,Smoothie - Berry,,6.5,Cold Drinks,,,,,
info@43degreescafe.co.nz,Smoothie - Coconut & Passionfruit,,6.5,Cold Drinks,,,,,
info@43degreescafe.co.nz,Smoothie - Mango,,6.5,Cold Drinks,,,,,
info@43degreescafe.co.nz,Smoothie - Banana,,6.5,Cold Drinks,,,,,
info@43degreescafe.co.nz,Iced Coffee - Black,,5,Cold Drinks,,,,,
info@43degreescafe.co.nz,Iced Coffee - White,,6.5,Cold Drinks,,,,,
info@43degreescafe.co.nz,Ice Chocolate,,6.5,Cold Drinks,,,,,
info@43degreescafe.co.nz,Milk Shake - Strawberry,,5.5,Cold Drinks,,,,,
info@43degreescafe.co.nz,Milk Shake - Chocolate,,5.5,Cold Drinks,,,,,
info@43degreescafe.co.nz,Milk Shake - Banana,,5.5,Cold Drinks,,,,,
info@43degreescafe.co.nz,Milk Shake - Caramel,,5.5,Cold Drinks,,,,,
info@43degreescafe.co.nz,Milk Shake - Vanilla,,5.5,Cold Drinks,,,,,
info@43degreescafe.co.nz,Milk Shake - Lime,,5.5,Cold Drinks,,,,,
info@43degreescafe.co.nz,Sparkling Water,,6,Cold Drinks,,,,,
info@43degreescafe.co.nz,Beer Bottle,,8,Beer,,,,,
info@43degreescafe.co.nz,Brancott Estate MERLOT,,10,Red Wine,,,,,
info@43degreescafe.co.nz,Wild Grace (2017) PINOT NOIR,,12,Red Wine,,,,,
info@43degreescafe.co.nz,Rockburn (2016) PINOT NOIR,,,Red Wine,,,,,
info@43degreescafe.co.nz,Brancott Estate BRUT CUVEE,,12,Bubbles,,,,,
info@43degreescafe.co.nz,Veuve Clicquot CHAMPAGNE Brut NV,,,Bubbles,,,,,
info@43degreescafe.co.nz,Marc Bredif  (2016) VOUVRAY,,14,Other,,,,,
info@43degreescafe.co.nz,Villa Maria (2016) ROSIE,,10,Other,,,,,
info@43degreescafe.co.nz,Villa Maria SAUVIGNON,,9,White Wine,,,,,
info@43degreescafe.co.nz,Wither Hill SAUVIGNON BLANC,,10,White Wine,,,,,
info@43degreescafe.co.nz,Cloudy Bay SAUVIGNON BLANC,,,White Wine,,,,,
info@43degreescafe.co.nz,Villa Maria CHARDONNAY,,9,White Wine,,,,,
info@43degreescafe.co.nz,Wither Hill CHARDONNAY,,10,White Wine,,,,,
info@43degreescafe.co.nz,Cloudy Bay CHARDONNAY,,,White Wine,,,,,
info@43degreescafe.co.nz,Allan Scott RIESLING dry,,10,White Wine,,,,,
info@43degreescafe.co.nz,Main Divide RIESLING sweet,,12,White Wine,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
